,Title,Artist
0,Telephone,Lady Gaga
1,Last Friday Night (T.G.I.F.),Katy Perry
2,Umbrella,Rihanna
3,TiK ToK,Kesha
4,I Knew You Were Trouble,Taylor Swift
5,I Kissed A Girl,Katy Perry
6,Bad Romance,Lady Gaga
7,Party In The U.S.A.,Miley Cyrus
8,Oops!...I Did It Again,Britney Spears
9,Hot N Cold,Katy Perry
10,Just Dance,Lady Gaga
11,So What,P!nk
12,Crazy In Love (feat. Jay-Z),Beyoncé
13,Halo,Beyoncé
14,Complicated,Avril Lavigne
15,Grenade,Bruno Mars
16,Single Ladies (Put a Ring on It),Beyoncé
17,Every time we touch,Cascada
18,Dynamite,Taio Cruz
19,Raise Your Glass,P!nk
20,Just the Way You Are,Bruno Mars
21,"Whenever, Wherever",Shakira
22,I Gotta Feeling,Black Eyed Peas
23,Replay,Iyaz
24,Break Your Heart,Taio Cruz
25,She Will Be Loved,Maroon 5
26,Beautiful,Christina Aguilera
27,Unfaithful,Rihanna
28,Marry You,Bruno Mars
29,Paparazzi,Lady Gaga
30,Poker Face,Lady Gaga
31,Memories (feat. Kid Cudi),David Guetta
32,Right Round,Flo Rida
33,Firework,Katy Perry
34,Lights - Single Version,Ellie Goulding
35,Love The Way You Lie,Eminem
36,Only Girl (In The World),Rihanna
37,Impossible,James Arthur
38,Slow Down,Selena Gomez
39,Black and Yellow,Wiz Khalifa
40,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull
41,Hangover,Taio Cruz
42,On The Floor,Jennifer Lopez
43,Rain Over Me (feat. Marc Anthony),Pitbull
44,We Found Love,Rihanna
45,What Makes You Beautiful,One Direction
46,Bangarang (feat. Sirah),Skrillex
47,Call Me Maybe,Carly Rae Jepsen
48,Die Young,Kesha
49,Diamonds,Rihanna
50,Payphone,Maroon 5
51,Starships,Nicki Minaj
52,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis
53,Baby,Justin Bieber
54,Roar,Katy Perry
55,The Monster,Eminem
56,Timber (feat. Ke$ha),Pitbull
57,Feel This Moment (feat. Christina Aguilera),Pitbull
58,"Hey, Soul Sister",Train
59,Break the Rules,Charli XCX
60,Fancy,Iggy Azalea
61,Shower,Becky G
62,Love Me,Justin Bieber
63,Eenie Meenie,Justin Bieber
64,Unconditionally,Katy Perry
65,California Gurls,Katy Perry
66,Teenage Dream,Katy Perry
67,I Love It (feat. Charli XCX),Icona Pop
68,Part Of Me,Katy Perry
69,Who Says,Selena Gomez & The Scene
70,Livin' On A Prayer,Bon Jovi
71,It's My Life,Bon Jovi
72,Beauty And A Beat,Justin Bieber
73,...Baby One More Time,Britney Spears
74,Girlfriend,Avril Lavigne
75,We Can't Stop,Miley Cyrus
76,The Best of Both Worlds,Hannah Montana
77,Whistle,Flo Rida
78,The Lazy Song,Bruno Mars
79,Apologize,Timbaland
80,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick
81,Titanium (feat. Sia),David Guetta
82,Price Tag,Jessie J
83,Black Widow,Iggy Azalea
84,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta
85,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta
86,Don't You Worry Child - Radio Edit,Swedish House Mafia
87,One Thing,One Direction
88,Sexy Bitch (feat. Akon),David Guetta
89,Airplanes (feat. Hayley Williams),B.o.B
90,Club Can't Handle Me (feat. David Guetta),Flo Rida
91,Hall of Fame (feat. will.i.am),The Script
92,Summer Paradise (feat. Sean Paul) - Single Version,Simple Plan
93,Dangerous (feat. Sam Martin),David Guetta
94,Trumpets,Jason Derulo
95,Just Give Me a Reason (feat. Nate Ruess),P!nk
96,Some Nights,fun.
97,We Are Young (feat. Janelle Monáe),fun.
98,Rude,MAGIC!
99,Best Song Ever,One Direction
